0.77
(395.24, 129.32)
(395.87, 130.09)
(396.51, 130.86)
(397.15, 131.63)
(397.79, 132.40)
(398.43, 133.17)
(399.07, 133.94)
(399.70, 134.71)
(400.34, 135.48)
(400.98, 136.25)
(401.62, 137.02)
(402.26, 137.79)
(402.90, 138.56)
(403.53, 139.33)
(404.17, 140.10)
(404.81, 140.87)
(405.45, 141.64)
(406.09, 142.41)
(406.72, 143.18)
(407.36, 143.95)
(408.00, 144.72)
(408.64, 145.49)
(409.28, 146.26)
(409.92, 147.03)
(410.55, 147.80)
(411.19, 148.57)
(411.83, 149.34)
(412.47, 150.11)
(413.11, 150.88)
(413.75, 151.65)
(414.38, 152.42)
(415.02, 153.19)
(415.66, 153.96)
(416.30, 154.72)
(416.94, 155.49)
(417.58, 156.26)
(418.21, 157.03)
(418.85, 157.80)
(419.49, 158.57)
(420.13, 159.34)
(420.77, 160.11)
(421.41, 160.88)
(422.04, 161.65)
(422.68, 162.42)
(423.32, 163.19)
(423.96, 163.96)
(424.60, 164.73)
(425.24, 165.50)
(425.87, 166.27)
(426.51, 167.04)
(427.15, 167.81)
(427.79, 168.58)
(428.43, 169.35)
(429.07, 170.12)
(429.70, 170.89)
(430.34, 171.66)
(430.98, 172.43)
(431.62, 173.20)
(432.26, 173.97)
(432.90, 174.74)
(433.53, 175.51)
(434.17, 176.28)
(434.81, 177.05)
(435.45, 177.82)
(436.09, 178.59)
(436.73, 179.36)
(437.36, 180.13)
(438.00, 180.90)
(438.64, 181.67)
(439.28, 182.44)
(439.92, 183.21)
(440.56, 183.98)
(441.19, 184.75)
(441.83, 185.52)
(442.47, 186.29)
(443.11, 187.06)
(443.75, 187.83)
(444.38, 188.60)
(445.02, 189.36)
(445.66, 190.13)
(446.30, 190.90)
(446.94, 191.67)
(447.58, 192.44)
(448.21, 193.21)
(448.85, 193.98)
(449.49, 194.75)
(450.13, 195.52)
(450.77, 196.29)
(451.41, 197.06)
(452.04, 197.83)
(452.68, 198.60)
(453.32, 199.37)
(453.96, 200.14)
(454.60, 200.91)
(455.24, 201.68)
(455.87, 202.45)
(456.51, 203.22)
(457.15, 203.99)
(457.79, 204.76)
(458.43, 205.53)
(459.07, 206.30)
(459.70, 207.07)
(460.34, 207.84)
(460.98, 208.61)
(461.62, 209.38)
(462.26, 210.15)
(462.90, 210.92)
(463.53, 211.69)
(464.17, 212.46)
(464.81, 213.23)
(465.45, 214.00)
(466.09, 214.77)
(466.73, 215.54)
(467.36, 216.31)
(468.00, 217.08)
(468.64, 217.85)
(469.28, 218.62)
(469.92, 219.39)
(470.56, 220.16)
(471.19, 220.93)
(471.83, 221.70)
(472.47, 222.47)
(473.11, 223.23)
(473.75, 224.00)
(474.39, 224.77)
(475.02, 225.54)
(475.66, 226.31)
(476.30, 227.08)
(476.94, 227.85)
(477.58, 228.62)
(478.22, 229.39)
(478.85, 230.16)
(479.49, 230.93)
(480.13, 231.70)
(480.77, 232.47)
(481.41, 233.24)
(482.04, 234.01)
(482.68, 234.78)
(483.32, 235.55)
(483.96, 236.32)
(484.60, 237.09)
(485.24, 237.86)
(485.87, 238.63)
(486.51, 239.40)
(487.15, 240.17)
(487.79, 240.94)
(488.43, 241.71)
(489.07, 242.48)
(489.70, 243.25)
(490.34, 244.02)
(490.98, 244.79)
(491.62, 245.56)
(492.26, 246.33)
(492.90, 247.10)
(493.53, 247.87)
(494.17, 248.64)
(494.81, 249.41)
(495.45, 250.18)
(496.09, 250.95)
(496.73, 251.72)
(497.36, 252.49)
(498.00, 253.26)
(498.64, 254.03)
(499.28, 254.80)
(499.92, 255.57)
(500.56, 256.34)
(501.19, 257.11)
(501.83, 257.87)
(502.47, 258.64)
(503.11, 259.41)
(503.75, 260.18)
(504.39, 260.95)
(505.02, 261.72)
(505.66, 262.49)
(506.30, 263.26)
(506.94, 264.03)
(507.58, 264.80)
(508.22, 265.57)
(508.85, 266.34)
(509.49, 267.11)
(510.13, 267.88)
(510.77, 268.65)
(511.41, 269.42)
(512.05, 270.19)
(512.68, 270.96)
(513.32, 271.73)
(513.96, 272.50)
(514.60, 273.27)
(515.24, 274.04)
(515.88, 274.81)
(516.51, 275.58)
(517.15, 276.35)
(517.79, 277.12)
(518.43, 277.89)
(519.07, 278.66)
(519.70, 279.43)
(520.34, 280.20)
(520.98, 280.97)
(521.62, 281.74)
(522.26, 282.51)
(522.90, 283.28)
(523.53, 284.05)
(524.17, 284.82)
(524.81, 285.59)
(525.45, 286.36)
(526.09, 287.13)
(526.73, 287.90)
(527.36, 288.67)
(528.00, 289.44)
(528.64, 290.21)
(529.28, 290.98)
(529.92, 291.74)
(530.56, 292.51)
(531.19, 293.28)
(531.83, 294.05)
(532.47, 294.82)
(533.11, 295.59)
(533.75, 296.36)
(534.39, 297.13)
(535.02, 297.90)
(535.66, 298.67)
(536.30, 299.44)
(536.94, 300.21)
(537.58, 300.98)
(538.22, 301.75)
(538.85, 302.52)
(539.49, 303.29)
(540.13, 304.06)
(540.77, 304.83)
(541.41, 305.60)
(542.05, 306.37)
(542.68, 307.14)
(543.32, 307.91)
(543.96, 308.68)
(544.60, 309.45)
(545.24, 310.22)
(545.88, 310.99)
(546.51, 311.76)
